nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
Coco Cantina;40.4153067;-3.7012155;C. de Núñez de Arce, 11, Centro, 28012 Madrid, Spain;45;150;N/D;https://linktr.ee/cococantina;https://maps.google.com/?cid=1648786208758363301;Centro
CLAN TEQUILA;40.4303411;-3.7009778;Calle de Palafox, 1, local 4, Chamberí, 28010 Madrid, Spain;46;498;N/D;;https://maps.google.com/?cid=2199962889635288015;Centro
La Soldadera Mezcal Bar;40.4127848;-3.6963716;Calle de Sta. María, 33, Centro, 28014 Madrid, Spain;49;143;N/D;https://www.instagram.com/lasoldadera_mezcaleria;https://maps.google.com/?cid=5946182406455340537;Centro
Tacos No Mames Wey;40.4191302;-3.7018546;C. de la Montera, 34, Centro, 28013 Madrid, Spain;35;147;N/D;https://pidenmw.com/;https://maps.google.com/?cid=10913420669441751653;Centro
La Rebonita;40.4116214;-3.7005582;Calle del Olmo, 23, Centro, 28012 Madrid, Spain;46;839;€€;https://m.facebook.com/profile.php?id=100054624872824;https://maps.google.com/?cid=4257388268292638327;Centro
La Leyenda del Agave;40.4258075;-3.6828673;Calle de Núñez de Balboa, 37, Salamanca, 28001 Madrid, Spain;44;1987;€€;http://www.laleyendadelagave.com/;https://maps.google.com/?cid=8850577056083282208;Centro
Taquería La Condesa - Gracias Padre - Restaurante Mexicano en Madrid;40.430107;-3.6764583;C. de José Ortega y Gasset, 55, Local 3, Salamanca, 28006 Madrid, Spain;47;376;N/D;https://graciaspadre.es/la-condesa/;https://maps.google.com/?cid=1475305785992396619;Centro
Can chan chán l Restaurante Mexicano Madrid;40.4301034;-3.6876015;C. de Serrano, 47, 3ª planta, Salamanca, 28001 Madrid, Spain;42;305;N/D;http://www.canchanchan.es/?utm_source=gmb&utm_medium=gmb&utm_campaign=web;https://maps.google.com/?cid=16769452100570850636;Centro
Taquería La Lupita;40.4231989;-3.6940421;C. del Conde de Xiquena, 10, Centro, 28004 Madrid, Spain;42;1810;€€;http://lalupita.es/;https://maps.google.com/?cid=3215027258048090502;Centro
BAKAN MADRID;40.4205629;-3.6881813;Pl. de la Independencia, 5, Salamanca, 28001 Madrid, Spain;43;1768;N/D;https://bakanmadrid.com/;https://maps.google.com/?cid=6359336026115558337;Centro
Tacos Chapultepec;40.4301431;-3.7017557;C. del Cardenal Cisneros, 13, Chamberí, 28010 Madrid, Spain;45;2107;€;http://www.tacoschapultepec.com/;https://maps.google.com/?cid=13570917356334502396;Centro
La Taquería de Birra Comendadoras;40.4270629;-3.7084891;Pl. de las Comendadoras, 2, Centro, 28015 Madrid, Spain;40;1164;€€;http://www.lastaquerias.com/comendadoras/;https://maps.google.com/?cid=16476916585924811784;Centro
Tatemado;40.4115708;-3.7098446;Pl. de la Cebada, 9, Centro, 28005 Madrid, Spain;48;668;N/D;http://www.tatemado.es/;https://maps.google.com/?cid=15224725077952510878;Centro
