full_id,osm_id,osm_type,railway,bus,natural,email,monorail,iata,highway,description,addr:housenumber,railway:ref,usage,source_url,indoor,emergency,defibrillator:location,bicycle,location,check_date:wheelchair,source:name,contact:url,name:pt,colour,type,name:es,name:ar,toilets:wheelchair,wheelchair:description,alt_name,light_rail,nohousenumber,addr:street,intercambiador,subway,station,layer,covered,old_name,ref,fare_zone,door,access,wikimedia_commons,internet_access,fare_area,addr:postcode,addr:city,level,entrance,wheelchair,wikipedia,wikidata,website,url,train,public_transport,platforms,operator:wikidata,operator,network:wikidata,network,name,contact:website
n5307477091,"5307477091",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Artilleros,Q649362,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Artilleros,
n5307477092,"5307477092",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Vinateros,Q2479812,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Vinateros,
n5307477093,"5307477093",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Estrella,Q2464797,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Estrella,
n5307477094,"5307477094",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Cruz del Rayo,Q2004333,https://www.metromadrid.es/es/linea/linea-9#estacion-909,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Cruz del Rayo,
n5307477095,"5307477095",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,Ibiza metro station,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Ibiza,Q2464739,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Ibiza,
n5307477096,"5307477096",node,station,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,subway,,,,,,,,,,A,,,,,no,es:Estación de Concha Espina,Q2464246,https://www.metromadrid.es/es/linea/linea-9#estacion-908,,yes,station,,,Metro de Madrid,Q191987,Metro de Madrid,Concha Espina,
n5307477097,"5307477097",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,,,,,,,,,A,,,,,,es:Estación de Pío XII,Q2635957,https://www.metromadrid.es/es/linea/linea-9#estacion-906,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Pío XII,
n5307497168,"5307497168",node,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Puerta de Arganda,Q2059170,,https://www.crtm.es/tu-transporte-publico/metro/estaciones/4_182,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Puerta de Arganda,http://www.citram.es/HORARIOS/info.aspx?estacion=4_182
n5307497169,"5307497169",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de San Cipriano,Q2479793,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,San Cipriano,
n5307497170,"5307497170",node,station,,,,,,,,,,,,,,,,,2023-09-15,,,,,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Vicálvaro (Metro de Madrid),Q2479859,https://www.metromadrid.es/es/linea/linea-9#estacion-920,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Vicálvaro,
n5307497171,"5307497171",node,station,,,,,,,,,,,,,,,,,,,,,#9F1F99,,,,,,,,,,,yes,subway,,yes,,,,,,,,A,,,,,yes,es:Estación de Valdebernardo,Q2696095,,,,station,,,Metro de Madrid,Q191987,Metro de Madrid,Valdebernardo,
