cod_distrito,cod_barrio,pop_esp_20_44,pop_ext_20_44,pop_total_20_44,foreign_ratio_20_44,mex_affinity_proxy
13,3,9795,4849,14644,0.3311253755804425,0.4165623254904282
13,4,10920,4456,15376,0.2898022892819979,0.39687236965756
13,5,6740,3801,10541,0.3605919741959966,0.38541825138538066
13,6,11118,8810,19928,0.4420915295062224,0.5609109078010581
14,1,1963,771,2734,0.28200438917337234,0.2319000441575652
14,2,1674,329,2003,0.16425361957064402,0.14025091862542657
14,3,5978,1302,7280,0.17884615384615385,0.2170496428201677
14,4,3979,1360,5339,0.25472935006555536,0.24567679672825754
14,5,4024,1983,6007,0.3301148659896787,0.30687532543907386
14,6,3738,1600,5338,0.29973772948669913,0.27717004455724387
15,1,12705,6873,19578,0.3510573092246399,0.4927707355689572
15,2,14724,8838,23562,0.37509549274255155,0.559866643035533
15,3,6471,3853,10324,0.37320805889190234,0.39151145549081884
15,4,5539,2247,7786,0.288594913948112,0.30025836439355724
15,5,4549,1390,5939,0.234046135713083,0.23876920617008673
15,6,3205,749,3954,0.18942842690945877,0.1824905448662308
15,7,1580,492,2072,0.23745173745173745,0.19236022698337638
15,8,387,80,467,0.17130620985010706,0.1258068435303374
15,9,5647,825,6472,0.12747218788627937,0.17089271187032823
16,1,1556,243,1799,0.13507504168982767,0.11725188988274476
16,2,3386,918,4304,0.21328996282527882,0.20360983804229812
16,3,8942,2683,11625,0.23079569892473117,0.3082385168381597
16,4,12066,4739,16805,0.28199940493900627,0.4094411379660527
16,5,3858,1109,4967,0.22327360579826858,0.21896396685824965
16,6,19069,4707,23776,0.1979727456258412,0.43858092193808884
17,1,10507,8263,18770,0.44022376132125735,0.544992097258662
17,2,3409,4930,8339,0.5911979853699484,0.5190581388841321
17,3,5394,2420,7814,0.3097005374968006,0.3153855983204387
17,4,8024,5387,13411,0.4016851838043397,0.4503964859981656
17,5,8504,4972,13476,0.3689522113386762,0.4283035600501285
18,1,9839,5502,15341,0.35864676357473435,0.44462187985897617
18,2,5589,1403,6992,0.20065789473684212,0.22868394488914073
18,3,16610,5481,22091,0.24811009008193383,0.4524161276603147
19,1,7820,4967,12787,0.3884413857824353,0.43325234151473024
19,2,4601,1024,5625,0.18204444444444445,0.1984060438163601
19,3,3576,487,4063,0.1198621708097465,0.1351695020701873
19,4,9417,2047,11464,0.1785589672016748,0.26964134433592335
20,1,6915,4507,11422,0.3945893888986167,0.42033269335958345
20,2,2353,1352,3705,0.3649122807017544,0.3021874188330854
20,3,2156,1840,3996,0.46046046046046046,0.37274291451613123
20,4,6265,2438,8703,0.2801332873721705,0.3059057170420806
20,5,7574,1180,8754,0.1347955220470642,0.20481278737103376
20,6,4177,2146,6323,0.33939585639727976,0.31735923272170286
20,7,6572,3698,10270,0.36007789678675756,0.3816389826632471
20,8,2780,714,3494,0.204350314825415,0.1871316941328376
21,1,4115,711,4826,0.14732697886448404,0.1640222230247889
21,2,404,258,662,0.38972809667673713,0.28116262864276037
21,3,2112,1155,3267,0.35353535353535354,0.28869698838995606
21,4,3263,617,3880,0.15902061855670102,0.16027136434904468
21,5,1738,255,1993,0.12794781736076266,0.11471067942036696
